wiek;przychod;czas_na_stronie_min;liczba_wizyt;godzina_wejscia;dzien_tygodnia;typ_klienta;region;kupil
44;9432;32;7;12;2;powracajacy;centrum;0
50;7668;50;6;8;7;powracajacy;zachod;0
47;7300;51;14;5;1;nowy;poludnie;0
37;7931;20;9;17;6;powracajacy;poludnie;0
40;4941;12;18;14;3;nowy;wschod;0
40;4807;38;9;14;3;nowy;poludnie;0
48;3604;48;18;21;3;nowy;wschod;0
68;5791;36;16;2;6;vip;polnoc;0
66;5340;30;10;2;4;nowy;wschod;0
60;7493;49;19;2;1;powracajacy;centrum;0
28;9899;12;19;16;6;nowy;wschod;0
49;9730;23;11;23;3;nowy;zachod;0
38;3072;25;5;14;5;nowy;wschod;0
33;6086;33;7;5;3;nowy;poludnie;0
43;3473;28;15;0;1;nowy;polnoc;0
26;5616;14;17;18;2;nowy;poludnie;1
34;2096;16;15;22;3;powracajacy;centrum;0
34;4756;35;16;11;3;powracajacy;polnoc;0
57;7026;50;5;12;5;nowy;wschod;0
53;5541;8;12;13;5;nowy;polnoc;0
27;4863;46;9;2;4;powracajacy;zachod;0
63;4560;33;1;2;4;nowy;centrum;0
61;2738;54;12;23;1;powracajacy;polnoc;0
28;7920;35;11;4;1;nowy;poludnie;0
59;3744;8;5;16;2;powracajacy;polnoc;0
56;3680;54;13;8;1;powracajacy;zachod;0
64;7819;17;16;21;5;vip;zachod;1
20;6111;53;19;11;4;vip;zachod;0
38;9342;7;17;0;6;powracajacy;centrum;0
47;8637;21;19;18;3;powracajacy;polnoc;0
52;1142;24;7;14;7;vip;wschod;0
53;5055;54;9;21;3;powracajacy;centrum;0
68;1726;3;16;15;6;vip;centrum;0
63;6852;8;13;22;3;nowy;polnoc;0
20;4534;49;13;8;6;powracajacy;wschod;0
36;4604;28;18;23;2;powracajacy;centrum;0
66;7669;2;13;2;4;nowy;polnoc;0
64;6831;41;8;0;6;vip;poludnie;0
54;4094;13;10;10;6;nowy;poludnie;0
65;5506;55;10;16;5;nowy;poludnie;1
29;2938;31;13;15;5;nowy;polnoc;0
63;9755;36;9;7;2;nowy;wschod;0
33;5927;36;3;11;2;nowy;centrum;0
67;7056;14;19;23;1;nowy;centrum;0
45;7566;32;16;13;2;nowy;wschod;0
61;3750;43;2;12;6;nowy;poludnie;0
42;5801;21;14;16;1;nowy;poludnie;0
42;8279;11;6;10;3;powracajacy;wschod;0
37;4208;48;18;18;4;nowy;centrum;0
60;1987;14;9;16;3;powracajacy;zachod;0
68;3323;12;3;9;5;nowy;centrum;0
45;2204;17;7;4;6;powracajacy;wschod;0
45;1642;46;13;11;1;vip;centrum;1
45;5862;16;4;20;1;powracajacy;polnoc;0
48;6750;22;4;21;1;nowy;centrum;0
48;5286;35;4;15;1;nowy;poludnie;0
45;5577;50;17;9;3;nowy;polnoc;0
34;7120;16;7;14;7;powracajacy;polnoc;0
36;9516;51;3;4;5;nowy;zachod;0
67;3909;18;18;8;1;powracajacy;centrum;0
64;9631;19;11;14;4;nowy;zachod;0
39;1934;57;12;19;2;nowy;wschod;0
19;4215;29;6;21;7;powracajacy;zachod;0
20;8421;59;8;5;4;powracajacy;polnoc;0
20;1440;58;2;17;6;nowy;zachod;0
55;2999;49;10;18;7;powracajacy;polnoc;0
40;3920;17;11;10;4;powracajacy;wschod;0
22;7407;3;15;13;3;vip;zachod;0
62;1981;43;16;11;7;powracajacy;poludnie;0
26;5457;3;18;16;4;powracajacy;zachod;0
36;3878;12;3;16;1;nowy;zachod;0
56;9732;38;12;20;1;nowy;poludnie;0
64;8096;54;7;7;6;powracajacy;polnoc;0
43;6532;54;9;19;4;powracajacy;polnoc;0
27;5445;10;10;12;7;nowy;zachod;0
21;9987;21;12;3;3;vip;centrum;0
58;8060;53;7;4;4;powracajacy;zachod;0
32;7618;12;14;3;2;nowy;wschod;1
39;2232;24;5;20;3;powracajacy;polnoc;0
60;6670;41;13;4;1;nowy;polnoc;0
20;1282;2;16;2;6;nowy;polnoc;1
48;1647;10;3;1;4;powracajacy;centrum;0
22;8822;32;17;13;7;powracajacy;poludnie;0
40;5264;13;12;19;1;nowy;poludnie;1
30;9623;43;4;2;5;powracajacy;wschod;1
40;7523;17;7;18;3;nowy;polnoc;0
61;7946;36;3;13;3;nowy;wschod;0
67;1856;42;6;16;5;nowy;polnoc;0
67;2691;15;16;8;7;nowy;polnoc;0
20;7089;17;8;4;1;nowy;polnoc;1
42;3067;58;17;15;7;powracajacy;wschod;0
42;5144;23;17;8;1;powracajacy;wschod;0
24;5234;33;9;14;2;powracajacy;poludnie;0
42;2032;59;5;4;5;nowy;poludnie;0
23;4025;25;16;22;1;powracajacy;polnoc;0
46;5113;55;17;15;1;nowy;centrum;0
35;7005;43;1;5;1;powracajacy;polnoc;1
37;5846;8;13;19;1;powracajacy;polnoc;0
48;9138;55;18;6;2;powracajacy;zachod;0
60;6430;10;18;10;3;powracajacy;centrum;0
69;4107;1;2;5;2;nowy;poludnie;0
24;7176;14;15;0;7;powracajacy;wschod;0
60;3782;43;3;9;4;nowy;zachod;0
59;7704;38;18;19;3;nowy;centrum;0
18;1586;12;11;18;2;vip;polnoc;0
56;7350;5;2;11;6;powracajacy;poludnie;0
51;1719;45;3;12;5;nowy;wschod;0
38;8147;8;15;3;1;nowy;zachod;0
64;7251;54;9;13;2;nowy;poludnie;0
54;2461;20;19;12;2;powracajacy;polnoc;0
58;7456;56;14;22;7;powracajacy;polnoc;0
43;9595;13;3;1;6;vip;polnoc;1
69;6523;2;10;9;1;nowy;poludnie;0
67;2176;24;17;13;5;powracajacy;centrum;0
65;5906;18;3;0;2;powracajacy;wschod;0
36;9118;52;19;7;1;powracajacy;zachod;0
23;2817;5;2;17;2;powracajacy;centrum;0
65;7304;37;8;7;6;nowy;centrum;0
28;5876;38;5;6;2;nowy;centrum;0
40;4505;43;6;14;5;powracajacy;centrum;0
43;7239;1;16;6;2;powracajacy;poludnie;0
19;2305;5;18;14;1;powracajacy;polnoc;0
56;3532;11;12;23;6;powracajacy;polnoc;0
41;7579;56;11;3;7;powracajacy;poludnie;1
33;9949;27;11;12;4;nowy;polnoc;0
28;4165;2;6;18;2;nowy;polnoc;0
41;9521;6;18;22;6;nowy;zachod;1
37;4035;44;12;7;4;nowy;centrum;0
30;2753;50;4;7;4;nowy;zachod;0
37;2970;25;5;19;6;powracajacy;poludnie;0
38;1775;15;15;16;1;nowy;centrum;0
68;5974;10;11;1;5;nowy;poludnie;0
44;7827;18;16;12;2;powracajacy;poludnie;0
65;9491;54;6;8;6;nowy;wschod;0
35;9201;32;16;14;1;vip;zachod;1
52;8046;59;1;12;5;vip;polnoc;1
64;3120;41;16;21;2;powracajacy;zachod;0
56;5661;26;5;6;2;powracajacy;polnoc;0
37;2166;22;10;23;5;powracajacy;wschod;0
54;8362;29;4;5;6;nowy;zachod;0
42;6980;51;8;23;5;powracajacy;zachod;0
65;9846;18;3;18;5;powracajacy;zachod;1
21;1648;34;5;12;7;vip;poludnie;1
39;5443;20;12;17;4;vip;centrum;1
19;2464;23;3;21;2;nowy;polnoc;0
21;4534;2;4;16;3;nowy;zachod;0
37;6837;20;6;12;3;powracajacy;polnoc;0
20;1311;44;18;4;1;vip;zachod;0
21;1490;38;8;8;7;powracajacy;zachod;0
21;7650;51;19;3;5;nowy;zachod;0
44;5302;20;7;23;6;powracajacy;wschod;0
44;4447;47;17;11;5;nowy;wschod;0
67;2216;39;3;12;4;vip;poludnie;1
59;5754;54;15;8;2;powracajacy;centrum;0
39;2588;30;18;13;7;nowy;centrum;0
67;1252;25;18;2;1;nowy;zachod;0
19;3779;36;16;14;5;powracajacy;poludnie;0
54;1437;15;8;21;6;nowy;polnoc;0
50;6672;58;2;12;4;powracajacy;poludnie;0
25;4999;23;7;20;5;powracajacy;zachod;0
20;2153;16;3;7;6;powracajacy;polnoc;0
31;3174;31;17;15;3;nowy;zachod;0
66;3572;36;2;18;2;vip;zachod;1
31;3503;56;11;8;3;nowy;centrum;0
22;8958;15;3;22;6;powracajacy;poludnie;0
33;7584;24;16;0;4;nowy;poludnie;0
45;8690;19;2;12;2;nowy;poludnie;0
34;9080;40;10;4;4;vip;poludnie;1
40;4018;31;19;9;1;nowy;centrum;0
30;9203;18;1;11;1;nowy;polnoc;0
37;8463;39;8;18;1;nowy;polnoc;0
35;9615;5;10;14;2;powracajacy;wschod;0
32;3885;32;1;5;1;powracajacy;poludnie;0
52;3625;39;13;18;1;powracajacy;poludnie;0
57;7473;49;18;20;6;nowy;polnoc;0
63;5231;27;10;12;6;powracajacy;polnoc;0
68;6970;35;6;2;5;nowy;wschod;1
53;9384;32;6;4;7;nowy;wschod;0
62;6117;50;4;17;2;vip;polnoc;1
36;4869;40;13;15;3;nowy;poludnie;0
37;7007;7;5;1;7;powracajacy;centrum;0
37;5391;24;6;0;6;nowy;wschod;0
45;3603;14;14;9;5;powracajacy;wschod;0
68;2273;43;2;22;4;powracajacy;wschod;0
65;1719;40;3;0;6;nowy;centrum;0
30;9805;29;4;17;5;nowy;centrum;1
28;8039;45;18;6;4;powracajacy;zachod;0
62;3681;20;10;1;4;powracajacy;zachod;0
37;7061;31;1;5;6;powracajacy;centrum;1
26;6426;36;16;10;4;nowy;poludnie;0
64;9140;46;6;6;2;nowy;polnoc;0
57;8838;35;18;3;4;nowy;centrum;0
36;4606;10;5;13;5;vip;centrum;0
32;2460;40;17;23;4;nowy;zachod;0
63;7802;29;17;17;3;vip;zachod;0
47;7560;31;1;22;3;powracajacy;zachod;0
26;5644;42;13;0;3;powracajacy;zachod;0
29;5732;2;4;16;7;powracajacy;wschod;0
35;5392;2;15;6;2;nowy;zachod;0
58;1723;17;15;23;6;nowy;poludnie;0
65;8168;9;12;3;5;nowy;poludnie;0
32;1049;34;17;20;5;powracajacy;polnoc;0
36;1710;55;8;4;5;nowy;zachod;0
40;9297;42;14;11;6;nowy;poludnie;0
61;9021;2;6;16;2;nowy;wschod;0
64;6618;41;3;10;4;vip;wschod;1
38;4775;40;14;17;7;nowy;zachod;0
62;8966;56;11;4;1;powracajacy;centrum;0
68;2514;20;14;14;6;nowy;zachod;0
30;2176;47;13;12;5;powracajacy;wschod;0
34;7101;45;11;20;6;powracajacy;poludnie;1
68;3131;43;17;9;4;nowy;zachod;1
61;3833;19;8;11;4;nowy;wschod;0
61;7673;37;6;8;2;vip;zachod;1
60;9132;16;10;5;3;nowy;poludnie;0
34;2127;18;5;16;5;powracajacy;wschod;1
23;9081;13;14;17;1;nowy;zachod;0
30;3246;4;16;0;7;nowy;poludnie;0
57;3783;47;9;23;3;powracajacy;poludnie;0
20;4410;11;10;20;6;nowy;wschod;0
38;8523;13;6;4;1;powracajacy;centrum;0
56;4551;52;2;4;5;powracajacy;poludnie;0
63;7926;28;8;8;1;powracajacy;zachod;0
51;7295;17;13;12;4;nowy;poludnie;0
31;5463;44;4;13;6;powracajacy;polnoc;0
26;9635;10;1;9;4;nowy;polnoc;1
18;5681;14;2;7;3;powracajacy;zachod;0
34;5043;43;17;7;6;powracajacy;centrum;0
29;8402;12;4;18;4;nowy;wschod;0
23;2215;56;1;21;6;powracajacy;centrum;0
59;1774;16;14;10;3;powracajacy;poludnie;0
67;3589;47;18;3;7;powracajacy;zachod;0
58;5757;58;11;15;2;nowy;zachod;0
59;4568;23;15;11;3;powracajacy;zachod;0
58;7539;44;19;18;3;powracajacy;centrum;0
56;5574;33;3;18;5;nowy;centrum;1
20;1488;35;14;6;4;nowy;polnoc;0
19;6750;26;18;11;2;powracajacy;poludnie;0
56;5169;35;10;19;7;nowy;zachod;0
38;7487;31;9;22;1;powracajacy;centrum;0
66;4595;18;4;2;7;nowy;centrum;0
45;7348;44;12;1;2;powracajacy;centrum;0
54;7137;54;9;0;5;powracajacy;polnoc;0
28;3705;54;7;4;2;nowy;zachod;0
34;7446;35;18;13;2;powracajacy;polnoc;0
32;6934;35;17;12;1;powracajacy;poludnie;0
68;9545;53;4;17;4;powracajacy;poludnie;0
67;7412;51;15;14;7;nowy;centrum;0
30;9038;58;10;8;6;nowy;poludnie;1
32;7701;33;15;12;4;nowy;wschod;0
34;4939;54;4;21;3;powracajacy;zachod;0
18;4565;20;2;14;7;nowy;poludnie;0
59;9931;19;10;15;6;powracajacy;poludnie;0
19;9380;52;6;6;4;powracajacy;centrum;0
18;3977;45;15;17;2;powracajacy;centrum;0
34;4806;20;3;12;7;powracajacy;poludnie;1
66;3801;22;6;10;6;nowy;centrum;0
29;8620;58;8;22;7;vip;poludnie;1
28;3640;37;15;4;6;powracajacy;polnoc;0
42;9897;11;9;18;5;nowy;poludnie;0
33;9692;14;14;23;2;nowy;polnoc;0
66;5116;12;13;19;5;nowy;polnoc;0
23;1247;44;14;5;5;vip;polnoc;0
66;9751;49;15;8;1;powracajacy;poludnie;0
63;1082;42;18;16;3;nowy;polnoc;0
35;4386;43;1;23;4;powracajacy;wschod;0
33;4677;20;4;19;1;powracajacy;zachod;0
28;8189;47;9;15;1;nowy;poludnie;1
45;5375;26;19;3;6;nowy;wschod;0
45;8445;27;10;19;2;nowy;zachod;0
24;7329;49;5;23;1;powracajacy;polnoc;0
60;8925;11;6;5;6;powracajacy;poludnie;0
36;4315;9;6;15;5;nowy;zachod;0
57;2225;34;14;15;6;powracajacy;polnoc;0
40;4384;59;3;4;5;powracajacy;poludnie;0
20;6155;16;17;22;7;powracajacy;centrum;0
55;7779;57;5;19;4;nowy;polnoc;0
48;5089;37;13;12;3;nowy;zachod;0
67;3183;54;1;16;3;nowy;wschod;0
49;2074;54;3;18;1;nowy;wschod;0
57;4166;14;7;19;2;nowy;zachod;0
18;5033;28;11;0;6;nowy;wschod;0
40;3608;23;6;4;3;vip;polnoc;1
44;3017;13;16;18;1;vip;poludnie;1
23;9304;24;5;19;7;vip;zachod;1
49;9946;39;13;3;2;vip;poludnie;1
39;8779;44;6;3;6;powracajacy;centrum;1
44;5689;21;19;11;6;powracajacy;poludnie;0
53;2793;49;3;18;3;powracajacy;zachod;0
49;7729;24;5;1;1;nowy;zachod;0
66;4710;43;18;20;2;nowy;zachod;0
54;8938;40;18;14;7;nowy;polnoc;0
50;1612;24;3;14;5;powracajacy;polnoc;0
47;7410;12;4;22;3;nowy;poludnie;0
51;1710;52;18;21;4;nowy;wschod;0
61;4293;13;13;17;6;powracajacy;zachod;0
49;5060;26;14;4;5;nowy;centrum;0
29;1334;7;5;12;6;powracajacy;polnoc;0
21;7099;35;1;9;3;nowy;centrum;0
48;1519;40;14;9;5;nowy;centrum;0
50;2944;12;2;16;5;powracajacy;wschod;0
25;6429;7;11;14;6;powracajacy;wschod;0
32;4444;12;7;23;5;nowy;polnoc;0
26;5076;12;11;21;5;nowy;polnoc;0
30;4994;11;13;2;1;nowy;centrum;0
34;9641;26;16;21;2;vip;poludnie;1
60;7102;8;4;10;6;nowy;centrum;0
59;4705;43;18;14;7;powracajacy;centrum;0
24;1516;24;13;5;7;powracajacy;wschod;0
68;6062;13;6;9;5;powracajacy;wschod;0
51;7411;18;8;5;2;powracajacy;wschod;0
64;8107;12;14;17;2;powracajacy;zachod;0
43;3845;51;7;14;1;vip;centrum;0
39;3738;44;4;10;5;nowy;zachod;0
59;5837;17;16;4;1;powracajacy;wschod;0
67;9516;27;14;21;1;powracajacy;poludnie;1
27;1189;33;6;15;7;powracajacy;centrum;0
23;4634;37;5;20;1;nowy;zachod;0
65;3183;7;2;20;2;nowy;polnoc;0
57;2978;41;9;8;5;nowy;wschod;0
66;4464;32;6;18;1;powracajacy;poludnie;0
67;6894;25;19;12;7;nowy;poludnie;0
26;6012;18;14;1;2;powracajacy;polnoc;0
25;2800;4;12;19;3;nowy;wschod;0
69;7990;57;5;16;4;powracajacy;polnoc;0
32;1472;56;11;23;5;nowy;centrum;0
27;2955;37;18;1;3;powracajacy;poludnie;0
28;8500;26;5;0;5;nowy;centrum;1
40;5848;20;4;0;3;vip;centrum;1
35;6652;37;5;7;5;nowy;polnoc;0
60;8870;46;15;10;4;powracajacy;wschod;0
50;4753;5;12;14;6;powracajacy;zachod;0
67;3128;23;6;13;4;nowy;wschod;1
35;7445;15;18;0;1;nowy;polnoc;0
42;2089;16;4;0;4;nowy;wschod;0
20;1427;19;5;10;7;powracajacy;centrum;0
60;6458;36;10;4;6;nowy;zachod;0
52;7437;35;12;7;5;nowy;wschod;1
42;9554;55;2;18;4;nowy;zachod;0
32;9524;59;17;21;1;nowy;centrum;0
44;3089;49;9;11;3;powracajacy;polnoc;0
34;5014;39;3;18;5;nowy;polnoc;1
66;2018;21;17;19;2;vip;wschod;0
37;3111;56;16;6;7;nowy;poludnie;0
68;6330;10;10;10;7;vip;polnoc;0
39;5958;10;1;6;4;powracajacy;zachod;0
66;6338;5;18;1;4;vip;polnoc;0
68;3991;24;2;11;5;nowy;polnoc;0
62;2002;59;10;1;1;powracajacy;centrum;0
31;2075;9;10;1;5;powracajacy;wschod;0
27;8103;59;1;17;7;powracajacy;centrum;1
67;6708;13;6;1;4;powracajacy;polnoc;0
29;8259;30;12;11;4;nowy;zachod;0
51;2611;57;12;5;3;powracajacy;zachod;0
30;5249;34;9;15;4;powracajacy;wschod;0
31;9797;33;14;7;6;powracajacy;polnoc;0
47;9245;39;7;4;1;nowy;wschod;0
18;3344;19;3;18;7;powracajacy;polnoc;1
52;7357;42;1;5;7;nowy;centrum;0
44;9125;28;7;6;2;powracajacy;polnoc;0
45;4945;38;14;16;6;powracajacy;polnoc;0
67;9683;21;9;19;6;nowy;centrum;0
61;2182;28;15;8;4;powracajacy;poludnie;0
65;9382;30;1;11;2;nowy;zachod;0
37;1929;55;4;6;1;nowy;zachod;0
50;7368;31;4;15;5;powracajacy;polnoc;0
42;1518;33;7;13;2;nowy;polnoc;0
64;5877;54;12;20;4;powracajacy;wschod;0
18;7727;43;15;17;4;powracajacy;poludnie;0
33;5573;18;1;1;5;powracajacy;centrum;1
28;2362;12;2;0;6;powracajacy;centrum;0
39;9991;37;17;16;7;nowy;centrum;1
24;2259;39;11;9;5;nowy;zachod;0
67;7967;27;7;19;5;nowy;zachod;0
26;4468;45;16;6;7;vip;zachod;0
30;7105;58;19;6;1;nowy;wschod;0
56;5239;42;1;23;3;powracajacy;zachod;0
41;4188;8;15;19;3;vip;centrum;0
30;6846;42;19;13;3;powracajacy;poludnie;0
51;4468;39;6;23;4;powracajacy;zachod;0
55;6307;36;2;18;6;powracajacy;wschod;1
34;7489;41;3;21;1;nowy;wschod;1
54;2553;28;8;9;5;powracajacy;zachod;0
21;6645;24;10;19;3;nowy;wschod;0
31;1390;59;17;0;2;vip;polnoc;0
37;6080;46;12;15;4;nowy;wschod;0
59;4725;18;17;6;4;powracajacy;centrum;0
28;1748;7;3;9;1;powracajacy;polnoc;0
35;3067;29;3;13;3;nowy;wschod;0
19;9785;42;13;3;5;powracajacy;zachod;0
33;5974;50;18;23;6;nowy;poludnie;0
23;5665;51;2;10;5;powracajacy;poludnie;1
38;2609;47;1;4;3;nowy;centrum;0
28;2249;27;13;9;7;powracajacy;wschod;0
35;4388;9;4;10;7;powracajacy;wschod;0
18;4646;27;15;8;7;nowy;polnoc;0
44;5350;5;2;1;2;nowy;polnoc;0
29;9901;35;10;9;7;powracajacy;zachod;0
51;5892;42;6;2;7;nowy;poludnie;0
21;9728;58;13;5;6;powracajacy;centrum;0
42;1754;44;19;15;4;powracajacy;poludnie;0
47;3922;1;6;4;1;vip;centrum;0
52;5102;47;5;21;7;powracajacy;polnoc;0
31;2245;36;4;22;4;nowy;wschod;0
37;4583;38;14;14;5;nowy;polnoc;0
57;3930;16;18;5;4;nowy;zachod;0
41;5992;29;14;21;6;nowy;centrum;0
59;2822;25;1;23;7;nowy;zachod;0
20;2032;9;3;7;7;powracajacy;polnoc;0
22;1287;10;8;19;4;nowy;wschod;0
51;5724;8;10;0;4;powracajacy;polnoc;0
30;1164;58;14;17;7;nowy;poludnie;0
47;6397;48;5;11;7;powracajacy;centrum;0
31;5406;58;7;15;7;powracajacy;wschod;1
30;7772;21;7;7;1;powracajacy;centrum;0
40;5661;27;6;16;3;vip;wschod;1
30;1055;35;12;2;1;nowy;poludnie;0
43;2480;13;7;18;6;powracajacy;wschod;0
34;3925;31;4;4;3;powracajacy;zachod;0
26;1215;59;18;15;1;powracajacy;wschod;0
46;9548;21;17;5;3;nowy;polnoc;0
57;3745;26;12;6;1;nowy;poludnie;0
64;7932;26;18;23;3;nowy;wschod;1
25;1111;41;14;8;4;powracajacy;zachod;0
49;1378;45;3;11;5;nowy;centrum;0
33;3276;46;18;5;5;vip;poludnie;1
18;5641;34;15;9;5;nowy;polnoc;0
27;5819;10;6;2;7;nowy;poludnie;0
23;7808;28;1;22;6;powracajacy;zachod;1
50;2621;27;16;13;1;powracajacy;polnoc;0
61;4108;51;16;22;7;nowy;centrum;0
42;1896;50;19;1;3;nowy;poludnie;0
48;7932;17;2;2;7;powracajacy;wschod;0
58;8083;50;9;15;6;vip;wschod;0
57;2260;33;19;2;1;powracajacy;polnoc;0
64;4528;33;13;20;4;powracajacy;zachod;0
66;7979;42;7;1;2;powracajacy;wschod;0
19;2977;8;8;17;3;powracajacy;wschod;0
64;4192;34;4;6;7;nowy;zachod;0
36;9496;47;8;17;3;nowy;zachod;0
28;9153;27;1;5;5;nowy;zachod;1
69;6137;35;16;8;4;nowy;centrum;0
65;7711;58;13;2;4;nowy;centrum;0
24;3074;16;17;16;7;vip;centrum;0
49;8517;47;7;0;7;nowy;polnoc;0
18;3431;36;9;21;7;nowy;centrum;0
58;7424;23;12;5;2;nowy;polnoc;0
24;1272;38;5;20;3;nowy;poludnie;0
33;9891;39;11;14;4;powracajacy;poludnie;0
19;9848;47;3;20;6;powracajacy;centrum;0
21;6073;42;11;6;7;powracajacy;wschod;0
61;2696;37;13;23;4;nowy;wschod;0
52;5755;7;11;0;3;powracajacy;polnoc;0
48;1195;12;5;23;2;powracajacy;polnoc;0
48;4626;11;9;2;7;powracajacy;polnoc;0
18;3160;22;1;0;7;nowy;centrum;0
49;9181;34;7;13;1;nowy;polnoc;0
28;7336;26;17;7;1;nowy;zachod;1
68;6140;1;10;9;6;vip;wschod;0
39;6268;9;3;22;5;nowy;poludnie;0
32;1296;22;7;12;6;nowy;centrum;0
52;8894;29;9;14;7;nowy;zachod;0
60;2943;17;1;12;2;nowy;wschod;0
34;7045;50;5;19;6;nowy;polnoc;1
48;1771;23;13;9;3;powracajacy;zachod;0
22;5435;50;7;14;7;powracajacy;poludnie;1
69;9065;59;18;17;7;powracajacy;wschod;0
21;4080;15;12;19;2;nowy;zachod;0
37;6132;16;4;16;6;nowy;poludnie;0
29;8309;47;16;4;7;vip;poludnie;0
51;1114;27;4;17;2;nowy;zachod;1
44;1852;48;14;4;2;vip;polnoc;0
48;9727;41;5;1;4;nowy;wschod;0
28;5014;24;5;15;3;nowy;polnoc;0
27;2761;55;11;7;7;nowy;centrum;1
64;6663;42;7;19;2;powracajacy;centrum;0
45;5815;28;5;15;1;nowy;centrum;0
51;4941;10;13;9;3;nowy;wschod;0
43;1919;24;5;21;4;nowy;polnoc;0
41;8652;35;8;14;1;powracajacy;polnoc;0
20;4965;7;17;4;2;powracajacy;centrum;0
30;5688;14;18;14;6;powracajacy;zachod;0
39;5577;42;19;13;7;powracajacy;wschod;0
55;8876;36;15;15;1;nowy;poludnie;0
51;3410;1;12;2;1;powracajacy;zachod;0
21;2424;47;18;17;7;powracajacy;polnoc;0
49;3309;13;2;6;4;powracajacy;poludnie;1
67;1456;49;11;9;6;powracajacy;wschod;0
51;4983;5;13;12;4;nowy;zachod;0
19;5585;55;7;1;3;nowy;wschod;0
35;4796;48;13;4;1;nowy;poludnie;0
27;9909;48;4;15;2;nowy;centrum;0
36;7303;47;6;13;3;nowy;centrum;0
26;1802;25;13;11;4;vip;centrum;0
61;8766;24;4;11;5;vip;poludnie;1
63;2325;10;14;5;7;nowy;poludnie;0
26;4278;6;17;11;7;nowy;poludnie;0
39;5674;19;12;0;5;powracajacy;zachod;0
65;7508;14;16;8;2;powracajacy;poludnie;0
20;3479;53;1;9;4;nowy;zachod;0
58;9189;50;11;12;5;nowy;polnoc;0
58;3675;42;13;16;5;powracajacy;zachod;0
60;8580;56;13;0;5;nowy;poludnie;0
62;6220;13;15;18;7;powracajacy;poludnie;0
56;1803;46;13;23;3;powracajacy;wschod;0
33;1924;24;7;19;1;nowy;poludnie;0
62;2157;17;17;13;7;nowy;centrum;1
52;3290;8;10;14;4;nowy;polnoc;0
51;7996;26;4;17;6;nowy;wschod;0
65;8456;29;2;6;1;nowy;polnoc;0
67;6949;6;12;22;6;nowy;zachod;0
39;8173;59;4;15;4;powracajacy;zachod;0
20;7227;39;13;15;3;vip;wschod;0
41;1145;17;1;14;2;powracajacy;wschod;0
18;6532;42;14;4;4;nowy;centrum;0
67;4160;52;1;3;4;nowy;zachod;0
49;1773;35;18;0;6;nowy;polnoc;0
64;5423;24;15;8;2;powracajacy;wschod;0
48;5823;38;4;4;7;nowy;zachod;0
27;1340;10;5;3;7;vip;poludnie;1
57;7727;53;5;12;2;nowy;wschod;0
58;8601;5;12;0;4;nowy;polnoc;0
25;3937;38;8;20;6;nowy;wschod;0
24;7347;29;13;1;1;powracajacy;wschod;0
27;7621;15;7;12;7;nowy;centrum;0
54;1000;4;4;8;7;nowy;centrum;0
21;2278;28;3;23;2;nowy;poludnie;0
35;2946;39;16;14;5;nowy;zachod;0
67;3855;32;16;12;3;nowy;polnoc;0
42;9779;30;1;10;2;powracajacy;wschod;0
56;8922;35;2;1;2;powracajacy;poludnie;0
61;8368;21;17;4;7;nowy;polnoc;0
20;2945;12;1;4;1;nowy;polnoc;0
59;2278;42;6;23;7;vip;wschod;1
27;3142;43;4;19;6;nowy;centrum;1
33;5134;1;17;20;1;nowy;centrum;0
20;1697;43;2;19;4;nowy;poludnie;0
49;2019;13;12;22;5;nowy;zachod;0
53;1087;22;3;10;7;nowy;polnoc;0
24;1797;48;1;19;7;nowy;centrum;0
42;6449;2;1;1;7;powracajacy;wschod;0
21;5583;37;10;15;3;powracajacy;poludnie;0
39;7106;10;12;16;1;nowy;zachod;0
42;6120;30;16;3;6;powracajacy;polnoc;0
62;2436;17;11;8;5;powracajacy;poludnie;0
52;7387;56;1;0;1;nowy;centrum;0
19;7287;19;5;20;4;powracajacy;poludnie;0
51;3376;27;2;19;2;vip;wschod;1
47;2521;33;18;3;3;powracajacy;poludnie;0
43;6373;56;18;9;7;powracajacy;polnoc;0
49;9515;5;17;2;2;powracajacy;wschod;0
37;3833;18;9;11;6;powracajacy;polnoc;0
26;4297;1;6;2;5;nowy;wschod;0
55;1519;39;3;8;5;powracajacy;zachod;0
39;8716;20;7;0;1;nowy;poludnie;0
55;4345;52;16;10;7;nowy;poludnie;0
19;5652;16;1;9;6;vip;wschod;1
32;2713;33;13;16;1;nowy;wschod;0
53;5760;20;8;12;3;nowy;zachod;0
55;2010;54;9;0;3;vip;wschod;0
50;7939;32;12;12;3;vip;zachod;0
41;8273;57;5;3;4;powracajacy;wschod;0
59;8168;7;9;14;4;powracajacy;polnoc;0
47;1037;58;8;2;4;powracajacy;polnoc;0
66;4790;49;17;11;5;powracajacy;zachod;0
35;1432;41;16;17;2;nowy;polnoc;0
56;7470;34;15;11;2;nowy;poludnie;0
36;2299;35;8;6;1;nowy;wschod;0
40;5083;42;10;0;5;nowy;wschod;0
30;5180;22;12;19;6;nowy;polnoc;0
37;6183;17;8;1;1;nowy;wschod;0
44;3539;35;19;11;7;powracajacy;zachod;0
48;2422;16;6;8;2;nowy;wschod;0
52;6081;37;1;13;3;nowy;wschod;1
59;2997;18;2;23;5;powracajacy;centrum;0
48;2767;7;7;16;4;powracajacy;poludnie;0
35;7847;11;11;10;3;powracajacy;poludnie;0
